DEMO_Org,DEMO_meeting_remote,DEMO_Dept,OBSV_PreC_Location_A_primryoffice,OBSV_PreC_Location_B_officeother,OBSV_PreC_Location_C_client,OBSV_PreC_Location_D_WFH,OBSV_PreC_Location_E_publicspace,OBSV_PreC_Location_F_transit,OBSV_PreC_Location_G_other,OBSV_Now_Interact_Work_within_org,OBSV_PreC_meeting_A_inperson,OBSV_PreC_meeting_B_hyrbid,OBSV_PreC_meeting_C_remote,OBSV_PreC_interative_A_inperson,OBSV_PreC_interative_B_remote,OBSV_same_space_count_A_1,OBSV_same_space_count_B_2n3,OBSV_same_space_count_C_4n9,OBSV_same_space_count_D_10p,OBSV_PreC_meetingsize0ffice_A_1,OBSV_PreC_meetingsize0ffice_B_2n3,OBSV_PreC_meetingsize0ffice_C_4n9,OBSV_PreC_wiOffice_A_desk,OBSV_PreC_wiOffice_B_otherdeck,OBSV_PreC_wiOffice_C_meetingrm,OBSV_PreC_wiOffice_D_lobby,OBSV_PreC_wiOffice_E_speicaltyarea,OBSV_PreC_wiOffice_F_other,OBSV_PreC_space_A_InformalMtg,OBSV_PreC_space_B_FormalMtg,OBSV_PreC_5A_lost_layout,OBSV_PreC_5B_lost_looking,OBSV_PreC_5C_lost_perstech,OBSV_PreC_5D_lost_roomtech,OBSV_PreC_5E_lost_visitors,OBSV_PreC_5F_lost_noise,OBSV_PreC_5G_lost_comms,OBSV_PreC_5H_lost_ergo,OBSV_PreC_5I_lost_temp,OBSV_PreC_5J_lost_odor,OBSV_PreC_5K_lost_natlight,OBSV_PreC_5L_lost_indoorlight,PostC_impact_RankDifficult_A_MH,PostC_impact_RankDifficult_B_community,PostC_impact_RankDifficult_C_Communication,PostC_impact_RankDifficult_D_Tech,PostC_impact_RankDifficult_E_space,PostC_impact_RankDifficult_F_Environment,PostC_impact_shift_D_videoconf,PostC_impact_shift_E_innovate,DECSN_factors_E_commutelength,DECSN_factors_F_collabtools,DECSN_factors_G_concentrate,DECSN_factors_H_purpose,DECSN_factors_I_coworkerspresence,DECSN_factors_J_teampresence,DECSN_factors_K_socialevents,DECSN_factors_L_community,DECSN_factors_M_metorship,DECSN_factors_N_neighorhood,DECSN_factors_O_food,DECSN_factors_P_family,DECSN_factors_Q_leadership,PREF_space_A_focusedWk,PREF_Envr_Focus_1A_activity,PREF_Envr_Focus_1B_closure,PREF_Envr_Focus_1C_remote,PREF_Envr_Focus_1D_color,PREF_Envr_Focus_1E_light,PREF_Envr_Focus_1F_formality,PREF_Envr_Focus_1H_energy,PREF_Envr_Collab_2A_activity,PREF_Envr_Collab_2B_closure,PREF_Envr_Collab_2C_remote,PREF_Envr_Collab_2D_color,PREF_Envr_Collab_2E_light,PREF_Envr_Collab_2F_formality,PREF_Envr_Collab_2H_energy,PREF_features_A_chair,PREF_features_B_proximitry,PREF_features_C_concentration,PREF_features_D_privacy,PREF_features_E_noise,PREF_features_F_daylight,PREF_features_G_light,PREF_features_H_nature,PREF_features_I_Sychro,PREF_features_J_collabspace,PREF_features_K_temp,PREF_features_L_clean,PREF_features_M_lockers,PREF_features_N_events,PREF_features_O_food,PREF_features_Q_kitchen,PREF_features_R_gym,PREF_features_S_relax,PREF_features_T_greenspace,PREF_CollabSpace_A_tech,PREF_CollabSpace_B_software,PREF_CollabSpace_C_CollabTools,PREF_CollabSpace_D_furniture,PREF_CollabSpace_E_seating,PREF_CollabSpace_F_naturallight,PREF_CollabSpace_G_acoustics,SATSF_CollabSpace_A_Tech,SATSF_CollabSpace_B_software,SATSF_CollabSpace_C_CollabTools,SATSF_CollabSpace_D_furniture,SATSF_CollabSpace_E_seating,SATSF_CollabSpace_F_naturallight,SATSF_CollabSpace_G_acoustics,SATSF_HomeOffice_A_Tech,SATSF_HomeOffice_B_software,SATSF_HomeOffice_C_CollabTools,SATSF_HomeOffice_D_furniture,SATSF_HomeOffice_E_seating,SATSF_HomeOffice_F_naturallight,SATSF_HomeOffice_G_acoustics,SATSF_office_A_community,SATSF_office_B_designexcellence,SATSF_office_C_pride,SATSF_office_D_expressme,SATSF_office_E_control,SATSF_office_F_wellbeing,SATSF_office_G_myfamily,SATSF_office_H_customers,SATSF_office_I_orgcullture,SATSF_office_J_knowledgeshare,SATSF_office_K_planet,SATSF_facilitate_Home_1A_focus,SATSF_facilitate_Home_1B_inpersoncollab,SATSF_facilitate_Home_1C_virtualcollab,SATSF_facilitate_Office_2A_focus,SATSF_facilitate_Office_2B_inpersoncollab,SATSF_facilitate_Office_2C_virtualcollab,SATSF_facilitate_HomeTech_3A_virtualcollab,SATSF_facilitate_HomeTech_3B_inpersoncollab,SATSF_facilitate_HomeTech_3C_virtualcollab,SATSF_facilitate_OfficeTech_4A_virtualcollab,SATSF_facilitate_OfficeTech_4B_inpersoncollab,SATSF_facilitate_OfficeTech_4C_virtualcollab,WP_Featr_office_A_community,WP_Featr_office_B_designexcellence,WP_Featr_office_C_pride,WP_Featr_office_D_expressme,WP_Featr_office_E_control,WP_Featr_office_F_wellbeing,WP_Featr_office_G_myfamily,WP_Featr_office_H_customers,WP_Featr_office_I_oegculture,WP_Featr_office_J_knowledgeshare,WP_Featr_office_K_planet,Etc1_WLB_improved,Etc2_chooseWFH,Etc3_no_workstation,Etc4_justlaptop,Etc5_teamclose,Etc6_connected,Etc7_priorities,Etc8_WFK_efffective,OBSV_PreC_WFH_Days_Wk,DEMO_Tenure_PreC_employee,PREF_WFK_rate_home,PostC_impact_shift_A_focus,PostC_impact_shift_B_productive,PostC_impact_shift_C_collab,PostC_impact_shift_F_colleagueaccess,PostC_impact_shift_G_teammeetings,PostC_impact_shift_H_social,PostC_impact_shift_I_managersconnect,PostC_impact_shift_J_client,PostC_impact_shift_K_enjoy,DECSN_factors_A_noinpersonmtgs,DECSN_factors_B_healthwellness,DECSN_factors_C_WrkLifeSep,DECSN_factors_D_safety,OBSV_Now_WrkTimeA_Indiv_fract_vCollab,OBSV_PreC_meetingsize0ffice_D_10plus,PREF_space_B_inperson_collab,PREF_space_C_videoconf,PREF_space_D_impromptu,PREF_space_E_recharge,PREF_space_F_accessible,PREF_space_G_firstarrive
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.18,0.18,0.04,NA,NA,NA,your desk/office,meeting room,300,300,400,400,200,200,200,NA,NA,NA,NA,NA,3,1,4,5,0,2,NA,2.5,2.5,2.5,0,0,NA,2.5,2.5,2.5,2.5,2.5,0,0,0,Anywhere outside the office building,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Important,Important,Very unimportant,Neutral,Neutral,Important,Neutral,Neutral,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,0,NA,0,2.5,2.5,2.5,2.5,NA,2.5,2.5,2.5,2.5,NA,NA,2.5,NA,0.5,NA,Anywhere outside the office building,"Enclosed room (meeting room, phone room)",Anywhere outside the office building,Home,Desk or office,Desk or office
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.05,0.15,NA,NA,NA,NA,NA,NA,0.75,0.25,NA,0.3,0.05,0.04,1,NA,NA,your desk/office,your desk/office,NA,30,30,NA,60,NA,30,NA,NA,NA,NA,NA,2,5,4,3,0,1,NA,0,4,2.5,2.5,1,NA,4,0,1,1,0,0,1,2.5,Home,0,0,1,0,2,2,1,5,3,8,5,6,5,6,Important,Neutral,Very unimportant,Neutral,Neutral,Unimportant,Unimportant,Unimportant,NA,NA,Neutral,Neutral,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Important,Important,Unimportant,Very unimportant,Very unimportant,Very satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Very satisfied,Dissatisfied,Very satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Satisfied,Very satisfied,Neutral,Neutral,Important,Neutral,Important,Important,Important,Neutral,Neutral,Important,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,0,NA,0.4,0,1,4,2.5,NA,4,2.5,2.5,1,2.5,2.5,4,NA,0.75,NA,Desk or office,Home,Desk or office,Home,Desk or office,Home
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.15,0.05,NA,NA,NA,NA,NA,NA,0.5,0.25,0.25,0.4,0,0,0,0,0,your desk/office,meeting room,0,5,0,0,0,0,30,0,0,0,NA,0,0,4,3,2,1,5,NA,2.5,1,0,0,0,NA,0,0,0,1,0,0,0,0,"Semi-enclosed space (nook, booth)",3,4,4,6,6,1,5,4,4,4,6,9,2,5,Important,Neutral,Very unimportant,Neutral,Neutral,Neutral,Neutral,Unimportant,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Unimportant,Unimportant,Important,Important,Very unimportant,Unimportant,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,4,NA,0.8,4,2.5,4,2.5,NA,4,2.5,4,2.5,4,0,0,NA,0.875,0,"Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)"
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,NA,NA,NA,NA,0.1,someone else's desk/office,meeting room,NA,10,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,5,3,0,2,4,NA,2.5,2.5,2.5,2.5,4,NA,2.5,2.5,2.5,2.5,4,2.5,2.5,2.5,Desk or office,NA,2,4,4,3,4,4,2,3,4,4,4,4,4,Very important,Important,Very unimportant,Important,Important,Very important,Important,Very important,NA,NA,Important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Important,Neutral,Very important,Neutral,Very important,Important,Very satisfied,Satisfied,Satisfied,Very unsatisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Important,Important,Very important,Important,Neutral,Important,Important,Important,Neutral,Neutral,Unimportant,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,0,NA,0.4,2.5,2.5,4,2.5,NA,2.5,4,2.5,2.5,4,5,4,NA,0.85,NA,"Enclosed room (meeting room, phone room)",Home,"Open space (cafe, lounge)",Anywhere outside the office building,Home,Desk or office
Org 3,Yes,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.5,0.25,NA,NA,NA,NA,NA,NA,0.35,0.45,0.1,0.23,0.02,0.1,0.02,0.025,0.5,your desk/office,meeting room,300,525,165,120,425,120,260,100,360,0,0,25,2,1,3,5,0,4,NA,2.5,2.5,2.5,4,4,NA,4,4,5,4,4,4,5,4,Desk or office,4,3,2,7,8,4,7,5,5,2,2,9,4,8,Important,Important,Very unimportant,Important,Important,Important,Neutral,Important,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Important,Very important,Neutral,Important,Neutral,Important,Important,Unsatisfied,Very unsatisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Very important,Very important,Very important,Neutral,Unimportant,Important,Important,Important,Very important,Very important,Important,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,2,NA,0.4,4,4,4,4,NA,4,5,4,4,4,5,5,NA,0.5,0.1,"Open space (cafe, lounge)",Desk or office,Desk or office,Anywhere outside the office building,"Open space (cafe, lounge)",Desk or office
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0.08,NA,NA,NA,NA,0.32,"lobby, common area, other",someone else's desk/office,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,3,2,NA,2.5,2.5,1,2.5,4,NA,2.5,4,4,1,1,0,2.5,2.5,"Semi-enclosed space (nook, booth)",1,1,0,3,4,3,4,2,2,3,4,6,4,4,Important,Neutral,Very unimportant,Neutral,Important,Neutral,Neutral,Neutral,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Neutral,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unsatisfied,Unsatisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Neutral,Neutral,Very important,Very important,Neutral,Important,Important,Important,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,0,NA,0.2,2.5,2.5,2.5,2.5,NA,4,4,2.5,2.5,2.5,4,4,NA,0.5,0,"Open space (cafe, lounge)",Desk or office,"Open space (cafe, lounge)",Anywhere outside the office building,"Semi-enclosed space (nook, booth)","Semi-enclosed space (nook, booth)"
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,0.2,NA,NA,NA,NA,NA,NA,0.5,0.25,0.15,0.08,0.02,0.04,0.02,0.02,0.22,your desk/office,someone else's desk/office,120,30,60,30,30,30,60,30,10,30,60,10,1,5,3,4,0,2,NA,2.5,4,2.5,4,4,NA,2.5,2.5,2.5,4,4,2.5,2.5,4,Elsewhere in the building,3,5,6,5,6,5,6,2,3,4,5,6,5,5,Important,Important,Very unimportant,Important,Neutral,Important,Neutral,Neutral,NA,NA,Neutral,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Very important,Important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Important,Very important,Very important,Neutral,Neutral,Important,Important,Very important,Important,Important,Very important,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,3,NA,0.6,2.5,2.5,4,2.5,NA,2.5,2.5,2.5,2.5,4,2.5,2.5,NA,0.75,0.1,Elsewhere in the building,Home,Elsewhere in the building,Home,Home,Home
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,NA,NA,NA,NA,NA,NA,0.2,NA,NA,1,1,0,1,0,0.37,someone else's desk/office,meeting room,NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,1,2,0,NA,2.5,2.5,4,4,4,NA,1,2.5,4,4,4,4,4,2.5,Desk or office,2,NA,4,5,5,5,5,5,NA,5,5,5,4,5,Very important,Neutral,Very unimportant,Neutral,Neutral,Important,Important,Neutral,NA,NA,Neutral,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very important,Important,Important,Important,Neutral,Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,1,NA,0.2,2.5,2.5,2.5,2.5,NA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,0.975,NA,"Semi-enclosed space (nook, booth)","Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)",Anywhere outside the office building
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,0.34,1,0.02,1,0,0.02,your desk/office,meeting room,300,0,0,0,0,300,0,300,0,0,60,0,2,3,0,1,5,4,NA,5,0,4,4,1,NA,4,0,2.5,0,0,0,2.5,5,Desk or office,1,1,5,5,8,8,7,1,1,5,5,8,8,7,Very important,Unimportant,Very unimportant,Very important,Very important,Important,Important,Very important,NA,NA,Very important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Neutral,Neutral,Neutral,Important,Neutral,Neutral,Important,Satisfied,Satisfied,Satisfied,Very unsatisfied,Neutral,Unsatisfied,Unsatisfied,Very unsatisfied,Neutral,Very unsatisfied,Very unsatisfied,Neutral,Very satisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Very dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very dissatisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Important,Important,Unimportant,Very important,Very important,Very important,Unimportant,Neutral,Important,Very unimportant,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,0,NA,0.6,4,2.5,4,2.5,NA,5,2.5,2.5,2.5,2.5,5,5,NA,0.875,NA,"Enclosed room (meeting room, phone room)",Desk or office,"Open space (cafe, lounge)",Home,Desk or office,Desk or office
Org 3,Yes,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.9,0,NA,NA,NA,NA,NA,NA,0.4,0.4,0.15,0.36,0.5,0.5,0.5,0,0.025,your desk/office,meeting room,30,15,60,0,20,0,30,15,0,0,0,0,1,2,4,3,5,0,NA,1,2.5,1,4,2.5,NA,4,2.5,2.5,2.5,2.5,1,2.5,2.5,Desk or office,2,NA,6,5,6,2,5,7,7,7,7,8,5,7,Very important,Important,Very unimportant,Important,Important,Important,Important,Important,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Important,Important,Neutral,Neutral,Neutral,Satisfied,Satisfied,Unsatisfied,Unsatisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Unsatisfied,Unsatisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Important,Important,Very important,Important,Neutral,Very important,Very important,Neutral,Neutral,Important,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,0,NA,0.2,4,2.5,4,4,NA,5,2.5,2.5,2.5,4,4,2.5,NA,0.9,0.05,Desk or office,Desk or office,"Open space (cafe, lounge)",Home,Desk or office,Desk or office
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,0.75,0.1,0.1,0.385,1,0.5,0,0,0,your desk/office,meeting room,20,10,2,2,10,10,10,10,0,0,0,0,0,4,3,2,1,5,NA,1,4,2.5,4,4,NA,4,2.5,1,1,0,1,5,5,Home,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,5,5,5,Very important,Unimportant,Very unimportant,Important,Very important,Important,Important,Important,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Important,Important,Important,Important,Important,Important,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Unsatisfied,Neutral,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Important,Important,Important,Neutral,Very important,Important,Neutral,Unimportant,Neutral,Neutral,Very important,Strongly agree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,1,NA,1,2.5,2.5,2.5,2.5,NA,4,2.5,2.5,0,1,5,5,NA,0.75,NA,"Enclosed room (meeting room, phone room)",Home,"Open space (cafe, lounge)",Home,Home,Home
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.35,0.03,0.02,NA,NA,NA,someone else's desk/office,meeting room,0,60,30,30,120,15,0,0,15,0,0,0,1,4,0,3,5,2,NA,2.5,5,0,0,2.5,NA,2.5,1,2.5,1,1,0,4,4,Home,1,0,NA,1,1,2,1,3,4,3,3,2,2,4,Very important,Important,Very unimportant,Important,Important,Important,Important,Neutral,NA,NA,Important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Important,Very important,Neutral,Neutral,Important,Important,Neutral,Very satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Neutral,Very satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,0,NA,1,2.5,2.5,2.5,2.5,NA,2.5,2.5,2.5,2.5,2.5,4,4,NA,0.875,0.09999999999999999,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)","Open space (cafe, lounge)",Home,"Open space (cafe, lounge)"
Org 3,Yes,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.25,0,NA,NA,NA,NA,NA,NA,0.6,0.29,0.07,0.29,0.05,0.05,0,0,1,your desk/office,meeting room,45,75,300,20,300,20,20,0,10,0,0,0,0,5,4,3,1,2,NA,0,1,0,4,2.5,NA,4,1,1,1,1,0,1,5,Home,1,1,3,4,3,2,1,2,3,7,5,5,5,5,Very important,Neutral,Very unimportant,Very important,Very important,Important,Neutral,Important,NA,NA,Neutral,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Important,Important,Important,Unimportant,Unimportant,Very unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Satisfied,Neutral,Neutral,Unsatisfied,Unsatisfied,Neutral,Unsatisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very satisfied,Very satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Very satisfied,Very dissatisfied,Very satisfied,Dissatisfied,Very satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Very important,Very important,Very important,Important,Important,Important,Important,Very important,Unimportant,Important,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,0,NA,0.4,0,0,5,4,NA,5,4,2.5,2.5,5,4,4,NA,0.625,0.04,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)",Desk or office,Anywhere outside the office building,Desk or office,Desk or office
Org 3,No,Construction Management & Site Development,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.05,0.05,NA,NA,NA,NA,NA,NA,0.2,0.8,NA,0.3,0.02,0.02,0.02,0.02,0.02,someone else's desk/office,meeting room,60,20,30,30,60,30,30,45,30,20,15,15,5,1,3,2,4,0,NA,2.5,2.5,1,4,0,NA,1,0,0,0,0,0,5,0,Anywhere outside the office building,0,0,0,0,0,0,0,5,6,NA,6,7,6,8,Very important,Neutral,Very unimportant,Very important,Very important,Very important,Neutral,Neutral,NA,NA,Neutral,Neutral,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Neutral,Neutral,Neutral,Very important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,NA,1,2.5,2.5,2.5,2.5,NA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,0.75,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)",Elsewhere in the building,Anywhere outside the office building,Home,Desk or office
